PLAYER;AGE;GP;W;TS.PCT;USG.PCT;POSS;3PTS.PCT;FG.PCT;PTS;REB;AST;TOV;STL;BLK;EFF;SALARY
Zach LaVine;27;67;37;60.5;28.4;4827;38.9;47.6;24.4;4.6;4.5;2.6;0.6;0.3;21.7;19.5
Lonzo Ball;24;35;22;57.5;17;2530;42.3;42.3;13;5.4;5.1;2.3;1.8;0.9;17.4;18.6
Tristan Thompson;31;57;20;54.1;16.8;1859;33.3;52.8;6;5.1;0.6;0.8;0.4;0.4;8.6;9.95
Derrick Jones Jr.;25;51;28;63.3;11.9;1899;32.8;53.8;5.6;3.3;0.6;0.6;0.5;0.6;8;9.72
Alex Caruso;28;41;24;52.8;13;2372;33.3;39.8;7.4;3.6;4;1.4;1.7;0.4;11.6;8.6
Patrick Williams;33;58;33;53.9;15.8;3105;51.7;52.9;9;4.1;0.9;0.9;0.5;0.5;10.7;7.42
Coby White;22;61;32;56.4;19.5;3476;38.5;43.3;12.7;3;2.9;1.1;0.5;0.2;12;5.84
Troy Brown Jr.;22;66;37;52.5;11.8;2225;35.3;41.9;4.3;3.1;1;0.4;0.5;0.1;6.2;5.17
Tony Bradley;24;55;28;60;12.8;1169;0;58.5;3;3.4;0.5;0.6;0.2;0.6;6;1.79
Javonte Green;28;65;38;63.7;11.3;3167;29.6;31.7;3;1.4;0.9;0.6;0.4;0.2;2.8;1.67
Matt Thomas;27;40;23;56.4;13.7;977;30.7;45.9;4.6;2.4;0.5;0.7;0.6;0.5;5.6;1.67
Kevin Love;22;30;18;49.1;18.7;478;39.2;43;13.6;7.2;2.2;1.3;0.4;0.2;15.9;31.26
Jarrett Allen;24;56;35;69.8;17.7;3674;0;50;0.7;1;0.3;0;0;0;1.6;20
Caris LeVert;27;58;23;52.5;25.2;3634;25;30;5.8;1.5;3.5;1.3;0.5;0;4.8;17.5
Lauri Markkanen;25;61;32;58.2;19.2;3831;35.8;44.5;14.8;5.7;1.3;0.9;0.7;0.5;15.4;15.69
Cedi Osman;27;66;37;56.3;20.6;3028;8.3;25.6;1.4;1.5;0.3;0.2;0.5;0.2;2.3;8.13
Evan Mobley;21;69;40;54.9;20.1;4741;25;50.8;15;8.3;2.5;1.9;0.8;1.7;19.2;8.08
Rajon Rondo;22;70;33;51.1;26.8;4932;35.2;38.6;4.8;2.8;4.4;1.7;0.8;0.2;8.3;7.5
Darius Garland;22;68;37;57.6;27.2;4954;38.3;46.2;21.7;3.3;8.6;3.6;1.3;0.1;21.8;7.04
Isaac Okoro;21;67;34;58.9;12.3;4014;35;48;8.8;3;1.8;0.9;0.8;0.3;10;6.72
